project, status, reproducibleVariants, nonReproducibleVariants, stars
tencentcloud-sdk-python-iir, Fully Reproducible, ['all'], [], 534
tencentcloud-sdk-python-ecm, Fully Reproducible, ['all'], [], 534
technopy, Fully Reproducible, ['all'], [], 3
tableaudocumentapi, Fully Reproducible, ['all'], [], 300
stone, Fully Reproducible, ['all'], [], 395
stix2-patterns, Fully Reproducible, ['all'], [], 20
stackprinter, Fully Reproducible, ['all'], [], 1249
speak2mary, Fully Reproducible, ['all'], [], 2
socketio-client, Fully Reproducible, ['all'], [], 442
sobol-seq, Fully Reproducible, ['all'], [], 67
snuggs, Fully Reproducible, ['all'], [], 17
simple-term-menu, Fully Reproducible, ['all'], [], 397
selenium-base, Fully Reproducible, ['all'], [], 3385
sbvirtualdisplay, Fully Reproducible, ['all'], [], 4
saspy, Fully Reproducible, ['all'], [], 335
samsungtvws, Fully Reproducible, ['all'], [], 164
runai, Fully Reproducible, ['all'], [], 115
quantum-gateway, Fully Reproducible, ['all'], [], 14
qiskit-terra, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3674
pyzbar, Fully Reproducible, ['all'], [], 614
pytricia, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], 193
pythondata-cpu-rocket, Fully Reproducible, ['all'], [], 11
python-pcre, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], 57
python-gmaps, Fully Reproducible, ['all'], [], 27
python-easyconfig, Fully Reproducible, ['all'], [], 5
pytgcalls, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 447
pytest-rerunfailures, Fully Reproducible, ['all'], [], 311
pytest-flask, Fully Reproducible, ['all'], [], 450
pytest-custom-exit-code, Fully Reproducible, ['all'], [], 26
pyshorteners, Partially Reproducible, ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 364
pyshac, Fully Reproducible, ['all'], [], 21
pyproject-parser, Fully Reproducible, ['all'], [], 9
pyminknow, Fully Reproducible, ['all'], [], 8
pymartini, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'umask'], 70
pygments-markdown-lexer, Fully Reproducible, ['all'], [], 18
pygeohash, Fully Reproducible, ['all'], [], 144
pydmxcontrol, Fully Reproducible, ['all'], [], 84
proactive, Partially Reproducible, ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'umask'], ['time'; 'timezone'], 5
ppscore, Fully Reproducible, ['all'], [], 1021
peewee, Fully Reproducible, ['all'], [], 10186
pbd, Fully Reproducible, ['all'], [], 85
papermill, Fully Reproducible, ['all'], [], 5296
oschmod, Fully Reproducible, ['all'], [], 16
nxpd, Fully Reproducible, ['all'], [], 116
nosecomplete, Fully Reproducible, ['all'], [], 68
museval, Fully Reproducible, ['all'], [], 154
mkdocs-minify-plugin, Fully Reproducible, ['all'], [], 96
mkdocs-macros-plugin, Fully Reproducible, ['all'], [], 208
mkdocs-git-committers-plugin, Fully Reproducible, ['all'], [], 25
mistletoe, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 627
minisom, Fully Reproducible, ['all'], [], 1261
makefun, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 92
lorem, Fully Reproducible, ['all'], [], 24
linecache2, Partially Reproducible, ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 1
ldapdomaindump, Fully Reproducible, ['all'], [], 945
kglobal, Fully Reproducible, ['all'], [], 0
kaggler, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'timezone'; 'umask'], ['build_path'; 'time'], 727
jsonpickle, Fully Reproducible, ['all'], [], 1142
javaobj-py3, Fully Reproducible, ['all'], [], 75
grafana-api, Fully Reproducible, ['all'], [], 108
gast, Fully Reproducible, ['all'], [], 127
fuzzyfinder, Fully Reproducible, ['all'], [], 367
flow-network, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2
flashday, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 0
flake8-gl-codeclimate, Partially Reproducible, ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'timezone'; 'umask'], ['time'], 22
firexapp, Fully Reproducible, ['all'], [], 7
fcm-django, Fully Reproducible, ['all'], [], 684
falcon-apispec, Fully Reproducible, ['all'], [], 44
exchange-calendars, Fully Reproducible, ['all'], [], 291
edalize, Fully Reproducible, ['all'], [], 526
easytrader, Fully Reproducible, ['all'], [], 7249
dynamicforms, Fully Reproducible, ['all'], [], 43
dyn, Fully Reproducible, ['all'], [], 37
download, Fully Reproducible, ['all'], [], 44
docxbuilder, Partially Reproducible, ['environment'; 'build_path'; 'user_group'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'umask'], ['fileordering'; 'timezone'], 22
djangocms-installer, Fully Reproducible, ['all'], [], 173
django-token, Fully Reproducible, ['all'], [], 11
django-pizza, Fully Reproducible, ['all'], [], 7
django-pandas, Fully Reproducible, ['all'], [], 771
django-oscar, Fully Reproducible, ['all'], [], 5786
django-map-widgets, Fully Reproducible, ['all'], [], 424
django-db-readonly, Fully Reproducible, ['all'], [], 107
django-angular, Fully Reproducible, ['all'], [], 1243
django-admin-multiple-choice-list-filter, Fully Reproducible, ['all'], [], 53
datacube, Fully Reproducible, ['all'], [], 448
data-converter, Fully Reproducible, ['all'], [], 2
cprint, Fully Reproducible, ['all'], [], 16
connected-components-3d, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], 260
compressive-transformer-pytorch, Fully Reproducible, ['all'], [], 133
cloudtools, Fully Reproducible, ['all'], [], 36
citeproc-py-styles, Fully Reproducible, ['all'], [], 5
circuitbreaker, Fully Reproducible, ['all'], [], 399
cfn-flip, Fully Reproducible, ['all'], [], 967
capy, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 0
bytecode, Fully Reproducible, ['all'], [], 273
branca, Fully Reproducible, ['all'], [], 99
bit, Fully Reproducible, ['all'], [], 1156
bertopic, Fully Reproducible, ['all'], [], 4458
behave-pandas, Fully Reproducible, ['all'], [], 14
bebi103, Fully Reproducible, ['all'], [], 13
baymax, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 32
b3j0f-utils, Fully Reproducible, ['all'], [], 0
