project, status, reproducibleVariants, nonReproducibleVariants, stars
b3j0f-utils, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'locales'], ['environment'; 'home'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 0
baymax, Fully Reproducible, ['all'], [], 32
bebi103, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 13
behave-pandas, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 14
bertopic, Not Reproducible, ['user_group.available+=builduser:builduser'; 'fileordering'; 'timezone'], ['environment'; 'build_path'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'umask'], 4458
bit, Not Reproducible, ['user_group.available+=builduser:builduser'; 'kernel'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1156
branca, Not Reproducible, ['user_group.available+=builduser:builduser'; 'kernel'; 'exec_path'; 'timezone'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'locales'; 'time'; 'umask'], 99
bytecode, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['build_path'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 273
capy, Fully Reproducible, ['all'], [], 0
cfn-flip, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 967
circuitbreaker, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 399
citeproc-py-styles, Fully Reproducible, ['all'], [], 5
cloudtools, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 36
collections-extended, Fully Reproducible, ['all'], [], 43
compressive-transformer-pytorch, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 133
cprint, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 16
data-converter, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['build_path'; 'home'; 'locales'; 'time'; 'umask'], 2
