project, status, reproducibleVariants, nonReproducibleVariants, stars
django-meta, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 429
jc, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 6277
fast-sql, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 102
systemd-python, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5
drf-dynamic-fields, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 232
tencentcloud-sdk-python-cim, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 534
wrapt, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], 1824
tencentcloud-sdk-python-ie, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 534
django-singleton-model, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 0
blackduck, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'timezone'], ['user_group.available+=builduser:builduser'; 'time'; 'umask'], 78
mdt, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 41
django-url-shortening, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 8
backports-functools-partialmethod, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
runipy, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 448
py-zipkin, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 219
githubrelease, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 54
pystoi, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 0
csinsc, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 1
karapy, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 0
pybase64, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 102
cs-portlet-aemet, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
blockchain-parser, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 398
libscrc, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], 0
pynwb, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 148
sc2gamelobby, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 4
py-ultroid, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 22
django-log-request-id, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
tensorflow-privacy, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
expression-parser, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
openerz-api, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
atlassian-jwt-auth, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'timezone'], ['user_group.available+=builduser:builduser'; 'time'; 'umask'], -1
drf-typed-views, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
pytest-circleci, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
language-tags, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
hammock, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
pyhash, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
vf-portalytics, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'timezone'], ['user_group.available+=builduser:builduser'; 'time'; 'umask'], -1
