project, status, reproducibleVariants, nonReproducibleVariants, stars
github.com/chzyer/readline, Fully Reproducible, ['all'], [], 1821
github.com/modern-go/reflect2, Fully Reproducible, ['all'], [], 661
github.com/matryer/is, Fully Reproducible, ['all'], [], 1536
github.com/godbus/dbus, Fully Reproducible, ['all'], [], 862
github.com/kylelemons/godebug, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 288
cloud.google.com/go/compute/metadata, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3326
github.com/go-openapi/jsonpointer, Fully Reproducible, ['all'], [], 26
github.com/fatih/structs, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3762
github.com/gorilla/context, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 411
gopkg.in/urfave/cli.v1, Fully Reproducible, ['all'], [], 20367
github.com/mitchellh/go-testing-interface, Fully Reproducible, ['all'], [], 46
github.com/joho/godotenv, Fully Reproducible, ['all'], [], 6159
github.com/oklog/ulid, Fully Reproducible, ['all'], [], 3505
github.com/graphql-go/graphql, Fully Reproducible, ['all'], [], 9275
go.uber.org/fx, Fully Reproducible, ['all'], [], 4076
github.com/gofrs/uuid, Fully Reproducible, ['all'], [], 1333
github.com/lunixbochs/vtclean, Fully Reproducible, ['all'], [], 85
github.com/coreos/go-semver, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 307
github.com/go-ole/go-ole, Fully Reproducible, ['all'], [], 986
github.com/gliderlabs/ssh, Fully Reproducible, ['all'], [], 2946
github.com/pquerna/otp, Fully Reproducible, ['all'], [], 1589
gopkg.in/natefinch/lumberjack.v2, Fully Reproducible, ['all'], [], 4132
github.com/cenkalti/backoff/v4, Fully Reproducible, ['all'], [], 2885
github.com/swaggo/swag, Fully Reproducible, ['all'], [], 8385
github.com/graph-gophers/graphql-go, Fully Reproducible, ['all'], [], 4296
github.com/shopspring/decimal, Fully Reproducible, ['all'], [], 4847
github.com/prometheus/prometheus, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 48959
github.com/go-logr/zapr, Fully Reproducible, ['all'], [], 99
github.com/grpc-ecosystem/go-grpc-prometheus, Fully Reproducible, ['all'], [], 1054
github.com/urfave/cli/v2, Fully Reproducible, ['all'], [], 20367
github.com/smartystreets/assertions, Fully Reproducible, ['all'], [], 86
go.etcd.io/etcd, Fully Reproducible, ['all'], [], 43902
github.com/go-ini/ini, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3026
